Country Name;Country Code;GDP Growth [YR2015];Agriculture, value added (% of GDP);Gini Index;School enrollment, primary (% net);Political Rights Freedom of the House;GDP per capita, PPP (current international $);Mortality rate, infant (per 1,000 live births);;;
Italy;ITA;0,880421769;2,256219907;35,2;97,19496918;1;37255,17001;2,9;;;
Jamaica;JAM;0,650212223;7,439936876;;;2;8630,073855;13,6;;;
Japan;JPN;1,326914281;1,068470967;32,1;;1;40686,02439;2;;;
Jordan;JOR;-1,520903922;4,173984194;;;6;9040,64198;15,5;;;
Kazakhstan;KAZ;-0,270354374;4,965633885;26,3;86,33155823;6;25044,87801;11,2;;;
Kenya;KEN;3,000941793;33,30205697;48,5;;4;3019,193625;36,5;;;
Kiribati;KIR;1,702536074;;37,6;95,21327209;1;1995,051536;43,6;;;
Korea, Dem. Peopleês Rep.;PRK;;;;74,06854248;;;16;;;
Korea, Rep.;KOR;2,249661522;2,290750929;;98,20742798;;34421,57955;3;;;
Kuwait;KWT;-2,121101267;0,630990415;;;5;73817,07528;7,5;;;
Kyrgyz Republic;KGZ;1,758864533;15,93894811;26,8;89,31617737;5;3447,171548;19,9;;;
Latvia;LVA;3,55640783;3,356677501;35,5;96,09931183;2;24919,47884;4,3;;;
Lesotho;LSO;4,212212029;5,669121618;54,2;80,16474152;2;2956,222006;74,5;;;
Liberia;LBR;-2,419848249;34,37069813;36,5;37,61392975;3;836,0755712;52,9;;;
Libya;LBY;;;;;6;;11,5;;;
Liechtenstein;LIE;;;;94,30104065;1;;;;;
Lithuania;LTU;2,740579952;3,63508119;35,2;97,81403351;1;28936,27363;4,1;;;
Luxembourg;LUX;1,578542613;0,237522818;34,8;;1;104206,1087;2,1;;;
Macedonia, FYR;MKD;3,751081731;11,40521388;;91,05735779;4;14022,77288;10,5;;;
Madagascar;MDG;0,314360202;25,56221608;42,7;;4;1465,423545;35,2;;;
Malawi;MWI;-0,152737774;29,71268919;46,1;;3;1159,172993;40,9;;;
Malaysia;MYS;3,277095857;8,452175807;46,3;98,09168243;4;26606,3433;7;;;
Maldives;MDV;0,794803153;3,262595317;38,4;;4;12770,27132;7,7;;;
Mali;MLI;2,898828067;40,96641929;33;55,72069931;5;2043,45923;69,6;;;
Marshall Islands;MHL;0,452164879;14,69911736;;77,33045959;1;3910,843216;29,8;;;
Mauritania;MRT;-1,471092864;27,74303192;32,4;79,20633698;6;3834,745258;55,7;;;
Mauritius;MUS;3,331728087;3,495806464;35,8;96,14530945;1;20085,1709;12,7;;;
Mexico;MEX;1,268507793;3,608881547;48,2;;3;17244,36578;12,9;;;
Micronesia, Fed. Sts.;FSM;3,357328487;28,21305842;42,5;84,00332642;1;3497,619262;28,3;;;
Moldova;MDA;-0,335853401;14,38342365;26,8;86,8547821;3;5054,042204;13,9;;;
Monaco;MCO;;;;;2;;2,8;;;
Mongolia;MNG;0,535468349;14,55169026;32;96,5120697;1;12147,94215;16,1;;;
Montenegro;MNE;3,344852953;10,20000154;31,9;92,8965683;3;16183,08271;3,8;;;
Morocco;MAR;3,039815123;14,47686995;40,7;;5;7757,253178;24,1;;;
Mozambique;MOZ;3,555958235;25,19651228;45,6;89,1328125;4;1190,601393;55,1;;;
Namibia;NAM;2,926345627;6,686942057;61;;2;10554,15923;34,5;;;
Nepal;NPL;1,531407356;33,00327077;32,8;96,88674927;4;2449,824329;29,6;;;
Netherlands;NLD;1,500840431;1,803869312;28;98,30618286;1;49546,95638;3,3;;;
New Caledonia;NCL;;;;;;;;;;
New Zealand;NZL;0,515089615;;;99,08248138;1;37948,91962;4,6;;;
Nicaragua;NIC;3,680003984;18,23345741;47,1;;4;5282,030084;17,3;;;
Niger;NER;-0,293486735;;34;62,40560913;3;955,5868102;52,3;;;
Nigeria;NGA;-0,022234865;20,85822645;43;;4;6037,697433;69;;;
Northern Mariana Islands;MNP;2,774118391;;;;;;;;;
Norway;NOR;0,604925371;1,813235254;25,9;99,78457642;1;62053,21292;2,2;;;
Oman;OMN;-0,356818128;1,574023807;;94,52639771;6;42737,12831;9,3;;;
Pakistan;PAK;2,59241724;25,10669087;30,7;73,84532166;4;4998,758254;65,7;;;
Panama;PAN;4,038185368;2,891120534;50,7;;2;22012,53803;14,5;;;
Papua New Guinea;PNG;;;43,9;;4;;43,8;;;
Paraguay;PRY;1,620215311;19,24195496;51,7;;3;9198,504076;17,6;;;
Peru;PER;1,924007286;7,757172484;44,1;94,08171844;2;12529,22823;12,4;;;
Philippines;PHL;4,38340689;10,2601852;43;;3;7319,571262;22,1;;;
Poland;POL;3,913725003;2,482623826;32,1;;1;26855,77467;4,2;;;
Portugal;PRT;2,016056049;2,333272829;36;97,82489777;1;29687,79038;2,9;;;
Puerto Rico;PRI;;;;;;;;;;
Qatar;QAT;-0,91894622;0,159687633;;92,1139679;6;127500,7562;7,4;;;
Romania;ROU;4,428392284;4,731697333;27,5;86,86920166;2;22070,53052;7,8;;;
Russian Federation;RUS;-3,03756702;4,557941366;41,6;96,53101349;6;23702,84446;6,8;;;
Samoa;WSM;0,864223505;;;95,95162201;2;5918,610025;15,2;;;
San Marino;SMR;;;;;1;;2,6;;;
Sao Tome and Principe;STP;1,693907084;12,55918588;30,8;94,9107132;2;3132,839554;27,1;;;
Saudi Arabia;SAU;1,531811756;2,6193879;;97,59738922;7;54007,03619;11,4;;;
Senegal;SEN;3,421652085;17,49334186;40,3;71,44651031;2;2445,408376;34,8;;;
Serbia;SRB;1,257472005;8,184191008;29,1;96,30226135;2;14111,93856;5,4;;;
Seychelles;SYC;1,21556404;;46,8;94,90045166;3;27177,17408;12,5;;;
Singapore;SGP;0,730479631;0,03702746;;;4;86128,17251;2,1;;;
Sint Maarten (Dutch part);SXM;;;;;;;;;;
Slovak Republic;SVK;3,732456945;3,663056611;26,1;;1;29907,05936;5;;;
Slovenia;SVN;2,239741185;2,384413163;25,6;;1;31964,65399;1,9;;;
Solomon Islands;SLB;1,619428446;;46,1;70,54705811;3;2186,356994;22,2;;;
Somalia;SOM;;;;;7;;85;;;
South Africa;ZAF;-0,294402135;2,439826167;63,4;;2;13229,62463;35,5;;;
Spain;ESP;3,278416032;2,56242346;35,9;99,42124939;1;34696,33621;2,8;;;
Sri Lanka;LKA;3,863285824;8,810432147;39,2;98,93746185;5;11777,87184;8,3;;;
St. Kitts and Nevis;KNA;2,713585024;1,211043435;;78,35472107;1;25681,53663;8;;;
St. Lucia;LCA;1,473234897;2,908313194;;;1;11368,52825;12,1;;;
St. Martin (French part);MAF;;;;;1;;;;;
St. Vincent and the Grenadines;VCT;1,512113959;7,57763081;;93,93153381;1;11140,34989;15,7;;;
Sudan;SDN;2,436229194; ;35,4;;7;4568,086152;45,9;;;
Suriname;SUR;-3,631078159;11,69451074;;93,3130722;2;15722,64758;18,4;;;
Swaziland;SWZ;-0,375522226;9,937235001;51,5;;7;8575,057385;53,1;;;
Sweden;SWE;2,990107772;1,317782728;27,3;99,37306213;1;47823,29797;2,4;;;
Switzerland;CHE;-0,299178806;0,681101179;31,6;93,31632233;1;62499,63716;3,6;;;
Syrian Arab Republic;SYR;;;51,5;;7;;14,2;;;
Tajikistan;TJK;3,694836764;24,95290794;30,8;97,33355713;6;2811,513714;38,3;;;
Tanzania;TZA;3,69917069;31,07944158;37,8;;3;2652,195655;41,5;;;
Thailand;THA;2,580151845;8,722890192;37,9;90,755867;6;16222,97175;10,8;;;
Timor-Leste;TLS;1,932993279;;31,6;95,59233093;;2290,347266;43,9;;;
Togo;TGO;2,69669397;40,66339165;46;95,43128967;4;1438,248359;52,1;;;
Tonga;TON;3,138743998;19,69267607;38,1;;2;5524,736792;14,4;;;
Trinidad and Tobago;TTO;-0,987803335;0,530158421;;;2;33308,42245;17;;;
Tunisia;TUN;-0,014759945;10,44753634;35,8;;1;11445,69281;12,1;;;
Turkey;TUR;4,376289239;7,823579592;40,2;94,13806915;3;24054,17775;11,7;;;
Turkmenistan;TKM;4,604664561;;;;7;15962,7696;44,7;;;
Turks and Caicos Islands;TCA;;;;;;;;;;
Tuvalu;TUV;1,77443342;21,65660986;41,1;84,40110779;1;3538,945184;22,1;;;
Uganda;UGA;1,563273005;25,60631964;41;;6;1802,086206;39,2;;;
United Arab Emirates;ARE;2,882540228;;;93,375;6;70245,9325;6,7;;;
United Kingdom;GBR;1,385038373;0,651452919;32,6;;1;41767,28965;3,7;;;
United States;USA;1,850196165;1,052210839;41,1;93,75418854;1;56207,03675;5,7;;;
Uruguay;URY;0,019573306;6,963447201;41,6;;1;21115,12664;8;;;
Vanuatu;VUT;-2,957877378;;37,2;85,81375885;2;2988,471944;23,6;;;
Venezuela, RB;VEN;;;46,9;89,85675049;5;;14,3;;;
Virgin Islands (U.S.);VIR;0,770852579;;;;;;;;;
West Bank and Gaza;PSE;0,44756909;4,226529194;;90,17970276;;;17,1;;;
Zambia;ZMB;-0,145952014;5,250774058;55,6;;3;3861,989229;44,8;;;
Zimbabwe;ZWE;-0,927424929;11,68067375;43,2;;5;2013,167117;42;;;
;;;;;;;;;;;
